time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
20286443.0,0.694841,-0.815046,-0.041877,-0.596125,0.110078,0.117269,0.01642567365176646,0.005354157943138045,0.0717085474903172,-0.3854451075961941,0.1108663965939203,-0.4694410625482586
20286453.0,0.682863,-0.816269,-0.042854,-0.583983,0.108856,0.094834,0.010609580305900833,-0.0025933669704962317,0.06504184598516541,-0.37910624981446406,0.09325879796842408,-0.45766855751088903
20286463.0,0.677241,-0.823358,-0.040167,-0.560976,0.113133,0.084526,0.01653452130821419,-0.0012131329694862365,0.0667297193045229,-0.364751634975437,0.08483559432047516,-0.4409047058719576
20286473.0,0.668685,-0.827025,-0.038212,-0.548194,0.1113,0.083313,0.02335166039739026,0.007624120493978486,0.06393924146888115,-0.3619254823806204,0.08238388501680632,-0.42669456089583896
20286483.0,0.657685,-0.83387,-0.0409,-0.523909,0.109467,0.086951,0.008688346097868793,-0.0017755736136821256,0.0627713329335835,-0.3426524237011099,0.09001744656379929,-0.4105000811411474
20286493.0,0.64913,-0.835581,-0.035036,-0.505375,0.106412,0.091196,0.008716394230202252,-0.002486572348033309,0.05863625820514088,-0.33208633278046146,0.09789319845900467,-0.3939285519747084
20286503.0,0.64473,-0.835337,-0.036013,-0.482368,0.101524,0.097259,0.006396410004177868,0.010649339433064611,0.055749634215753394,-0.31643896784452885,0.09974503215681368,-0.37730972856596945
20286513.0,0.639596,-0.837048,-0.039434,-0.457444,0.094802,0.096653,0.001076176515920114,0.007467766235682008,0.05414918877147323,-0.30071388892470613,0.09910422845365673,-0.35683854004211063
20286574.0,0.667708,-0.833626,-0.034792,-0.277221,0.038589,0.141524,0.013771436603666252,0.00782975929318881,0.06851570264890436,-0.18606748922074323,0.14511927577306902,-0.2066129753722853
20286584.0,0.669908,-0.836315,-0.036258,-0.241432,0.031257,0.128184,0.0027624351586862596,0.0014892426821708623,0.07214938388324771,-0.16114809202218602,0.1325386095937443,-0.17933866826082462
20286594.0,0.675285,-0.831914,-0.031127,-0.202448,0.02148,0.109993,3.927620212855469e-05,-7.074419610111833e-05,0.07194198453211016,-0.13638511681632753,0.11498407200778772,-0.14738658774971544
