time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
19691949.0,-0.809232,-0.580115,-0.006938,0.032736,-0.045732,-0.037354,0.7870286975763235,0.28282163641974045,-1.540403303151615,-0.020352678239459018,-0.039474763050387426,-0.050851690302258584
19691959.0,-0.809477,-0.578892,-0.005228,0.025067,-0.046954,-0.03129,0.790688725729695,0.28625435737951843,-1.532227465527842,-0.014316408534990112,-0.031214757436847276,-0.05131058438390709
19691969.0,-0.808988,-0.574981,-0.007427,-0.147487,-0.045121,-0.034322,0.7948576155595297,0.28455303979217356,-1.5218724301647413,0.15242906273182918,0.013225631841992264,-0.039456089404250015
19691979.0,-0.811432,-0.575225,-0.007916,0.004616,-0.047565,-0.030078,0.8013676026980954,0.2858481575492251,-1.515236984771689,0.005725326173213505,-0.024082319658095066,-0.05075120969095855
19691989.0,-0.81021,-0.576448,-0.008893,-0.011361,-0.047565,-0.023408,0.8044762081945178,0.2858679779438843,-1.5098128635962873,0.01953873048528077,-0.01320603087496477,-0.048818795248889935
19691999.0,-0.809721,-0.576448,-0.006694,-0.024782,-0.047565,-0.020376,0.8072574159725112,0.2890593138047088,-1.5027577763109536,0.03190453747835625,-0.006513582054973839,-0.04723803406266273
19692009.0,-0.814855,-0.57058,-0.010359,-0.036925,-0.040843,-0.005823,0.816631777836498,0.28749701681215173,-1.490015837558047,0.03938791197398735,0.009910019899858203,-0.03762841345198917
19692019.0,-0.811921,-0.573758,-0.009382,-0.047789,-0.036566,0.000241,0.8137320364225512,0.2880503139497693,-1.4933246033414993,0.04783528335030113,0.01808051620000044,-0.03171434310746363
19692083.0,-0.822432,-0.591116,0.005522,-0.086773,-0.028012,0.028134,0.8239983538933984,0.3091250434210875,-1.5013097175149126,0.0769296429413405,0.05419382341228372,-0.015830577054424585
19692092.875,-0.826099,-0.596983,0.004789,-0.09636,-0.024346,0.042686,0.8314958289156815,0.3117734194798005,-1.5002631467664755,0.08183302112435888,0.0701817369451196,-0.008829063655126236
19692102.75,-0.828544,-0.598205,0.003323,-0.077826,-0.031678,0.053601,0.8375566688522436,0.3128268724682931,-1.4949581786503188,0.061654868868727744,0.07662093521216852,-0.01616658878652733
19692112.625,-0.829766,-0.599183,0.007721,-0.082939,-0.027401,0.080281,0.8406677444258837,0.319015900025231,-1.4889765792949488,0.05870246857633161,0.10281646921015353,-0.007584545154612314
19692122.5,-0.828299,-0.601872,0.006744,-0.072713,-0.028623,0.100898,0.8428429185403418,0.319545342339679,-1.4856760321206068,0.043235786347071106,0.11986983623713804,-0.006982266210345591
19692132.375,-0.822921,-0.601383,0.007721,-0.061849,-0.029845,0.111206,0.8404469739875322,0.32038790121068,-1.4795003393575608,0.03010347564532324,0.12694901392809368,-0.007779837964643479
19692142.25,-0.814121,-0.599916,0.005522,-0.058653,-0.029234,0.109993,0.8356540214560253,0.3170186612178215,-1.4731851931802522,0.027409137692012395,0.12486039306069607,-0.007202959788085995
19692152.125,-0.81241,-0.603583,0.005034,-0.042037,-0.032289,0.100291,0.8345404671847132,0.31666279248345625,-1.4770897940982388,0.014669560129205589,0.11164371888360286,-0.013727986394758694
19692215.0,-0.813388,-0.603828,0.003568,-0.013917,-0.024957,-0.011887,0.8396146673863328,0.3168368036616667,-1.4699815665610687,0.019405836299706877,-0.0036241507205986233,-0.02383515378728158
19692224.875,-0.820721,-0.604072,0.006011,-0.016474,-0.026179,-0.01128,0.8495553032301212,0.3224240567009125,-1.4613248178454137,0.021987215523597056,-0.0020973792606914076,-0.024415865144526715
19692234.75,-0.820721,-0.60505,0.00821,-0.013278,-0.023124,-0.008855,0.8526359627899768,0.32589437936719295,-1.4544674189588096,0.01805796726817157,-0.001077695615390211,-0.021498466812826748
19692244.625,-0.820721,-0.602116,0.011631,-0.00497,-0.021902,-0.00461,0.8548011840712552,0.3298954689545096,-1.443560404828547,0.008958206025993063,0.0006004321125601645,-0.021095986112862043
19692254.5,-0.81681,-0.596738,0.010409,-0.003053,-0.015792,-0.000972,0.854186722304166,0.3279949697241627,-1.4314713284795544,0.005393829388007273,0.002569956006603923,-0.014965119032509884
19692264.375,-0.815099,-0.592827,0.011875,-0.003053,-0.017625,-0.000972,0.8549709872429421,0.32947547631479385,-1.420049721860365,0.005783891397291849,0.002932172051101174,-0.01669895761318875
19692274.25,-0.81461,-0.590138,0.012852,-0.001136,-0.012126,-0.000366,0.8571470274434816,0.33095868408859297,-1.4096129976198895,0.003072096537866326,0.00208423130728779,-0.011605280294751661
19692284.125,-0.809477,-0.586471,0.013341,0.005255,-0.012126,0.001453,0.851587829178895,0.3294228775882532,-1.4070110152893323,-0.0034895794063588056,0.002122254281353544,-0.012652469416362689
19692347.0,-0.793343,-0.58696,0.012852,-0.018391,0.010482,-0.040992,0.8399610159289205,0.3262484405238979,-1.402626101896513,0.02760305689787591,-0.03589011539047353,0.00885528859784486
19692356.875,-0.796521,-0.588182,0.009187,-0.020308,0.013537,-0.048269,0.8475780264707997,0.32533399258279777,-1.395294133333649,0.030947844856754943,-0.04286371582915974,0.011423412714214074
19692366.75,-0.802143,-0.58916,0.006255,-0.024143,0.019036,-0.0513,0.8571907930077372,0.3257608481284219,-1.3868925397102119,0.03435642528714177,-0.04578447251899934,0.017330951002355273
19692376.625,-0.813877,-0.593805,0.002835,-0.036925,0.019036,-0.0513,0.8732727033064204,0.3280837167654256,-1.3804787074624296,0.04618493499813633,-0.04249077690513708,0.020469503614298813
19692386.5,-0.824877,-0.593316,-0.004006,-0.045233,0.025757,-0.040386,0.8886153225456216,0.3259954872531273,-1.3695290784887413,0.04920214802221485,-0.031347035041794764,0.03061026556710273
19692396.375,-0.834166,-0.596983,-0.015001,-0.046511,0.028813,-0.023408,0.9042786946095082,0.3204580638819941,-1.3633638942084485,0.044430054828008915,-0.015649591992084072,0.036365602600004064
19692406.25,-0.835877,-0.592827,-0.018666,-0.063127,0.034923,-0.005823,0.9089044646027167,0.31842576797733846,-1.350685521696137,0.05297371993453949,0.003966544318307899,0.049158853825815314
19692416.125,-0.839544,-0.596494,-0.018177,-0.069518,0.042866,0.0154,0.9129472486716241,0.3205748788086105,-1.3531694940404069,0.0508244165957278,0.024092643996242957,0.06118684060297778
19692478.0,-0.814855,-0.602361,-0.008893,-0.095721,0.058141,0.066335,0.891005746241601,0.32618976329162297,-1.355830759326963,0.055802870521169556,0.07569366250534562,0.08999848357124925
19692488.0,-0.81021,-0.601139,-0.003273,-0.091886,0.055086,0.060877,0.8872712562744027,0.3320421963702198,-1.3468670517199406,0.05383566150958399,0.06988997809497359,0.08602689133468447
19692498.0,-0.81241,-0.604317,0.000147,-0.080382,0.052642,0.051175,0.8915307708087291,0.3384511454621863,-1.340342141138191,0.0460247280670183,0.057994945321544485,0.07981000837306111
19692508.0,-0.802632,-0.601872,0.001369,-0.073992,0.05142,0.04208,0.8841264431304356,0.3384342272895646,-1.3320430880555123,0.04254506717292612,0.04776575482418648,0.07614400035017146
19692518.0,-0.794566,-0.604072,0.005522,-0.067601,0.049587,0.020857,0.8786126836919695,0.342535059146621,-1.327075048475142,0.04304319863148989,0.026274215814704627,0.07014790698155172
19692528.0,-0.791632,-0.603583,0.007721,-0.06121,0.04531,-0.005823,0.877797578947245,0.3454550433610851,-1.3180966811595918,0.04599648848691866,0.00023888208958234533,0.0609740396498382
19692538.0,-0.78821,-0.605295,0.010898,-0.050984,0.043477,-0.028865,0.8768594324026268,0.3495264298507827,-1.311005816941275,0.04383919492460008,-0.023842952942034572,0.05322071582914728
19692548.0,-0.79261,-0.60505,0.011631,-0.037564,0.038589,-0.045843,0.8805720296919156,0.351290522460035,-1.309255984768309,0.03824859674144293,-0.042140605749920554,0.04198761555911752
19692610.0,-0.806543,-0.589893,0.004301,-0.001775,-0.005404,-0.034928,0.8941933511871071,0.34538584130957856,-1.2821891780608283,0.014097562939167748,-0.03111375942014836,-0.009247254669432079
19692619.875,-0.805566,-0.588915,0.002835,0.012285,-0.009682,-0.033716,0.8961180871146859,0.34429906194405696,-1.272389472440401,0.0022907344349749805,-0.03253009004419566,-0.017831903500886915
19692629.75,-0.81021,-0.592093,-0.000586,0.011646,-0.013959,-0.028258,0.9048633175667666,0.34375028148684955,-1.2647127285280737,0.0025522223638570966,-0.026177671211580537,-0.020909644950209347
19692639.625,-0.814121,-0.595271,-0.00083,0.004616,-0.018847,-0.02462,0.9119294536049327,0.3458923096472286,-1.256679638375767,0.009379392722052446,-0.01976131148660584,-0.022453926727742966
19692649.5,-0.818521,-0.596494,-0.006938,0.014202,-0.021902,-0.020982,0.920617437118161,0.3421812178280581,-1.2473972594041758,0.0007896015848601791,-0.01793332464651709,-0.028273859454623615
19692659.375,-0.823655,-0.596738,-0.00987,0.003977,-0.027401,-0.007642,0.9285175652019484,0.34138213309008947,-1.236462654318407,0.007654420908769767,-0.0014463213798363607,-0.027646871233787316
19692669.25,-0.825855,-0.596249,-0.011581,-0.002414,-0.029845,0.008123,0.9330211669552212,0.3408311301262713,-1.225807691050075,0.009323966724739024,0.01560190306333667,-0.02514316637415036
19692679.125,-0.828055,-0.599672,-0.012313,-0.010083,-0.029845,0.024495,0.9363332384396936,0.34153688491474693,-1.22817936675731,0.010883813849211806,0.03283301817657308,-0.019898026347166368
19692742.0,-0.805566,-0.600161,0.000392,-0.042676,-0.028623,0.003879,0.9145526336417199,0.34890561279892685,-1.2258059202000695,0.04614068152862604,0.021298232619367977,-0.008543216101984023
19692752.0,-0.801899,-0.603828,0.006255,-0.049706,-0.028012,-0.000366,0.9127729850959573,0.35529545102260307,-1.2197726210692805,0.05357698859287062,0.018913543916080293,-0.005222708670212811
19692762.0,-0.797255,-0.598938,0.004545,-0.04715,-0.025568,-0.016131,0.9096090150108657,0.35207885706387415,-1.2074001883161143,0.05563770046377206,0.002933492958419219,-0.005735432953708434
19692772.0,-0.79921,-0.599183,0.007966,-0.036285,-0.027401,-0.02462,0.9122957809903882,0.3565011672563962,-1.1960705854455604,0.0496295781998617,-0.007110326995882522,-0.012645498950829783
19692782.0,-0.798966,-0.597472,0.008454,-0.037564,-0.0329,-0.03129,0.9131919600407739,0.3571312806129871,-1.184197238254589,0.055080259040215386,-0.011524348974916056,-0.017489500872441232
19692792.0,-0.800677,-0.603828,0.010653,-0.033729,-0.024957,-0.038567,0.9181700319294847,0.3618915448319784,-1.178335920576123,0.051304459287166794,-0.021305103173949343,-0.012722256678703626
