time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
19642190.0,-0.480698,0.885458,0.050234,-0.063766,0.015981,-0.036748,0.15072636110908827,0.07927729164160077,-0.00570297857190325,0.0652632428376043,-0.014914534777590903,0.034498933428265925
19642199.875,-0.469453,0.884725,0.050967,-0.065683,0.009871,-0.02462,0.12833822501742106,0.06853817579684987,-0.007753106136976674,0.06388773515207057,-0.0023166175275948575,0.030509475747212182
19642209.75,-0.462853,0.880324,0.053899,-0.065683,0.002539,-0.013706,0.1102523283194629,0.06226059745480514,-0.01203421674092979,0.0617607320968561,0.008780376735829886,0.02484098229211693
19642219.625,-0.456009,0.878369,0.050723,-0.061849,-0.004182,-0.010674,0.09322986057459107,0.05030933780028339,-0.014694821591635421,0.05915389663749938,0.011280988228535892,0.018173552712325534
19642229.5,-0.456497,0.877635,0.046814,-0.059932,-0.012737,-0.010674,0.08255064173370302,0.03987945773087808,-0.013886783766465863,0.06013205295558503,0.012015250716083503,0.010381715974557025
19642239.375,-0.460409,0.879346,0.048524,-0.052263,-0.018236,-0.010067,0.07169159868717973,0.035681031946767014,-0.009460958765435545,0.05508122467702884,0.010998191214750864,0.003227356826018195
19642249.25,-0.461875,0.889125,0.046081,-0.057375,-0.029845,-0.00461,0.05710317043250341,0.025647495471938193,0.0010377983440852427,0.061574422492073594,0.019855257197385363,-0.004269192709787161
19642259.125,-0.46872,0.893037,0.045592,-0.043954,-0.031678,-0.002185,0.061728884727458626,0.026674380690942134,0.00735801701185602,0.049853545300456145,0.01810951399907713,-0.011264703666435168
19642321.0,-0.431564,0.894014,0.048035,0.001421,-0.070783,-0.141649,0.01600532939013482,0.006929336015581284,-0.00626377078698787,0.07769249333632465,-0.11797423179346246,-0.07157268084211701
19642331.0,-0.426431,0.891325,0.0517,0.007172,-0.08667,-0.176212,-0.000978642885922471,-0.001102366474775965,-0.010568663103772089,0.09249679598114566,-0.14790969625195372,-0.0904481062039284
19642341.0,-0.430586,0.891325,0.053655,0.009729,-0.102556,-0.201073,-0.014151175638483627,-0.0005567336409739558,-0.008767004018882816,0.10716782822337392,-0.16835750795913773,-0.10589402255875587
19642351.0,-0.44012,0.895481,0.050234,0.007812,-0.111722,-0.208349,0.004878399089907849,-0.0053036556421786245,-0.0009687877868135466,0.11360169636673528,-0.17233610348354594,-0.11552947869573642
19642361.0,-0.443053,0.899148,0.053166,0.001421,-0.126386,-0.198041,-0.009767147964261957,-0.0015774397070115948,0.0037389226156442925,0.12251066622671093,-0.15799306923344866,-0.12338964564695912
19642371.0,-0.450875,0.902326,0.052189,0.000782,-0.133107,-0.173786,0.008271401794154934,0.004830804247269994,0.010006145953916468,0.11507471439823644,-0.13473746497576658,-0.12854292826549574
19642381.0,-0.447697,0.90306,0.050723,0.00206,-0.137995,-0.151957,0.0019454521218960118,-0.010044294591850399,0.00916704142584528,0.10827854382096308,-0.11237194449091385,-0.133364524943265
19642391.0,-0.441586,0.899882,0.05341,0.007812,-0.137384,-0.122245,-0.0029305871779058868,-0.008718341573939883,0.0037698140505087636,0.09234138107900312,-0.08663834591901474,-0.13358928543052945
19642452.0,-0.442808,0.905749,0.048768,0.017398,-0.089114,-0.021588,0.0032336821512085737,-0.0028126847459036884,0.009366200044991026,0.027924300396346146,-0.007312842399765599,-0.08875129817310175
19642462.0,-0.440364,0.907705,0.051456,0.018676,-0.07506,-0.000972,0.01302990427397891,0.005428670282937183,0.0100976638872946,0.012838678764930752,0.008087387968635586,-0.07585185458125387
19642472.0,-0.437675,0.905993,0.052189,0.02315,-0.059785,0.0154,-0.0019340868363485009,-0.0011636557444332195,0.0075223663067821075,-0.0018623051290418806,0.01935995396336467,-0.06300041846799707
19642482.0,-0.432297,0.902082,0.0517,0.026345,-0.043899,0.02874,0.009986245777835865,0.000902346439720076,0.001601208864669327,-0.01632336845985343,0.027414879483881566,-0.04928631504797367
19642492.0,-0.428386,0.900371,0.05341,0.027623,-0.023735,0.031165,-0.0065369012029566865,0.003632115453855613,-0.0015115386760884257,-0.02546545066419387,0.025199810654411688,-0.03184521854927845
19642502.0,-0.426431,0.901837,0.051944,0.029541,-0.006626,0.028134,0.006203852955159364,0.005430895473591165,-0.0011088302278041836,-0.03289164175030095,0.018340076264048776,-0.01702580449196847
19642512.0,-0.429608,0.902082,0.04828,0.030819,0.011093,0.014187,-0.002370043775922823,-0.004727146954878465,0.00030893416092559215,-0.0355649911547982,0.0015425989487234503,-0.0026245326522113884
19642522.0,-0.427164,0.905015,0.050723,0.026345,0.015981,-0.001578,-0.006462671928383628,-0.0037906473819336586,0.0020169263610129414,-0.02795072062828452,-0.012740485974634409,0.002894599020544084
19642582.0,-0.418608,0.900615,0.054632,-0.013278,0.059974,-0.168329,-0.0006298903475408262,-0.0002132082335002616,-0.005352198467518369,0.049788231202102816,-0.16451219424103178,0.0506429479865361
